Searches,Filters,Shortlist,Enquiries,Photoclicks,PageView,Result
0,2,0,2,0,1,1
0,1,0,1,0,1,1
0,1,0,0,0,1,1
1,0,1,1,0,1,1
0,0,1,1,0,1,1
4,0,0,1,0,1,1
4,0,0,1,0,1,1
1,0,0,1,1,1,1
1,0,0,1,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
0,0,0,3,13,1,1
0,0,0,1,13,1,1
0,0,0,0,11,1,1
0,0,0,1,5,1,1
0,0,0,0,5,1,1
0,0,0,1,3,1,1
0,0,0,1,3,1,1
0,0,0,1,3,1,1
0,0,0,1,3,1,1
0,0,0,1,3,1,1
0,0,0,2,2,1,1
0,0,0,1,2,1,1
0,0,0,1,2,1,1
0,0,0,3,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0,1,1,1
0,0,0,9,0,1,1
0,0,0,6,0,1,1
0,0,0,5,0,1,1
0,0,0,4,0,1,1
0,0,0,4,0,1,1
0,0,0,4,0,1,1
0,0,0,4,0,1,1
0,0,0,4,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
1,25,0,1,0,4,0
0,14,0,1,0,5,0
0,12,0,2,1,5,0
1,12,0,1,0,3,0
0,10,0,4,0,5,0
0,10,0,1,0,5,0
1,10,0,1,0,2,0
0,8,0,1,3,4,0
0,8,0,1,1,4,0
1,8,0,1,0,4,0
0,7,0,3,0,5,0
0,7,0,3,0,4,0
0,7,0,3,0,4,0
0,7,0,1,0,3,0
0,7,0,0,0,4,0
0,7,0,0,0,3,0
0,7,0,0,0,2,0
0,6,0,1,3,5,0
0,6,0,1,0,3,0
0,5,0,0,0,2,0
0,4,0,0,0,2,0
0,3,1,1,0,4,0
0,3,0,2,1,2,0
0,3,0,2,0,4,0
0,2,0,2,2,5,0
0,2,0,2,1,3,0
3,2,0,2,0,3,0
0,2,0,2,0,3,0
1,2,0,1,1,3,0
0,2,0,1,1,2,0
1,2,0,1,0,4,0
0,2,0,1,0,4,0
0,2,0,1,0,4,0
0,2,0,1,0,4,0
0,2,0,1,0,4,0
0,2,0,1,0,3,0
0,2,0,1,0,3,0
1,2,0,1,0,2,0
0,2,0,1,0,2,0
0,2,0,1,0,2,0
0,2,0,1,0,2,0
0,2,0,1,0,2,0
0,2,0,1,0,2,0
0,2,0,0,0,4,0
0,2,0,0,0,3,0
0,1,0,4,0,5,0
1,1,0,2,0,5,0
1,1,0,2,0,3,0
4,1,0,1,1,4,0
1,1,0,1,1,3,0
6,1,0,1,0,5,0
3,1,0,1,0,4,0
0,1,0,1,0,4,0
0,1,0,1,0,4,0
0,1,0,1,0,4,0
0,1,0,1,0,2,0
1,1,0,0,1,2,0
0,1,0,0,0,2,0
0,0,3,0,0,4,0
0,0,1,4,0,3,0
0,0,1,1,1,3,0
0,0,1,1,1,3,0
0,0,1,1,0,2,0
0,0,0,4,1,5,0
0,0,0,4,1,5,0
0,0,0,4,1,4,0
0,0,0,4,1,4,0
0,0,0,4,0,5,0
0,0,0,4,0,5,0
0,0,0,4,0,5,0
0,0,0,4,0,4,0
0,0,0,4,0,4,0
0,0,0,4,0,4,0
0,0,0,4,0,3,0
0,0,0,4,0,3,0
0,0,0,4,0,3,0
0,0,0,4,0,3,0
0,0,0,4,0,3,0
0,0,0,4,0,2,0
0,0,0,4,0,2,0
0,0,0,4,0,2,0
0,0,0,4,0,2,0
0,0,0,3,3,5,0
0,0,0,3,3,5,0
0,0,0,3,3,5,0
0,0,0,3,3,4,0
0,0,0,3,3,4,0
0,0,0,3,3,4,0
0,0,0,3,2,3,0
0,0,0,3,1,6,0
0,0,0,3,1,6,0
0,0,0,3,1,6,0
0,0,0,3,1,6,0
0,0,0,3,1,6,0
0,0,0,3,1,5,0
0,0,0,3,1,5,0
0,0,0,3,1,5,0
0,0,0,3,1,5,0
0,0,0,3,1,5,0
0,0,0,3,1,5,0
0,0,0,3,1,5,0
0,0,0,3,1,5,0
0,0,0,3,1,5,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,4,0
0,0,0,3,1,3,0
0,0,0,3,1,3,0
0,0,0,3,1,3,0
0,0,0,3,1,3,0
0,0,0,3,1,3,0
0,0,0,3,1,3,0
0,0,0,3,1,3,0
0,0,0,3,1,3,0
0,0,0,3,1,2,0
0,0,0,3,1,2,0
0,0,0,3,1,2,0
1,0,0,3,0,5,0
1,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
0,0,0,3,0,5,0
1,0,0,3,0,4,0
1,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
0,0,0,3,0,4,0
1,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
0,0,0,3,0,3,0
1,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,3,0,2,0
0,0,0,2,3,6,0
0,0,0,2,3,6,0
0,0,0,2,3,5,0
0,0,0,2,3,5,0
0,0,0,2,3,4,0
0,0,0,2,3,4,0
0,0,0,2,3,3,0
0,0,0,2,2,6,0
0,0,0,2,2,5,0
0,0,0,2,2,5,0
0,0,0,2,2,5,0
0,0,0,2,2,5,0
0,0,0,2,2,5,0
0,0,0,2,2,4,0
0,0,0,2,2,4,0
0,0,0,2,2,4,0
0,0,0,2,2,4,0
0,0,0,2,2,3,0
0,0,0,2,2,3,0
0,0,0,2,2,2,0
0,0,0,2,1,6,0
0,0,0,2,1,6,0
0,0,0,2,1,6,0
0,0,0,2,1,6,0
0,0,0,2,1,6,0
0,0,0,2,1,6,0
0,0,0,2,1,6,0
1,0,0,2,1,5,0
1,0,0,2,1,5,0
0,0,0,2,1,5,0
0,0,0,2,1,5,0
0,0,0,2,1,5,0
0,0,0,2,1,5,0
0,0,0,2,1,5,0
0,0,0,2,1,5,0
0,0,0,2,1,5,0
3,0,0,2,1,4,0
1,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,4,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,3,0
0,0,0,2,1,2,0
0,0,0,2,1,2,0
0,0,0,2,1,2,0
0,0,0,2,1,2,0
0,0,0,2,1,2,0
0,0,0,2,1,2,0
0,0,0,2,1,2,0
3,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
