Searches,Filters,Shortlist,Enquiries,Photoclicks,PageView,Result
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
0,0,0,2,0,5,0
1,0,0,2,0,4,0
1,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,4,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,3,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,17,0,4,0,2,1
0,0,0,2,0,2,0
0,7,0,1,0,2,1
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,0,0,2,0,2,0
0,3,0,1,1,2,1
0,3,0,7,0,2,1
0,3,0,1,0,2,1
0,0,0,1,4,4,0
1,2,0,2,0,2,1
0,2,0,1,0,2,1
0,0,0,1,4,4,0
0,0,0,1,4,4,0
0,0,0,1,4,3,0
0,0,0,1,4,2,0
0,0,0,1,4,2,0
0,0,0,1,4,2,0
0,0,0,1,3,6,0
0,1,0,1,0,2,1
0,0,0,1,3,6,0
0,0,0,1,3,6,0
0,0,0,1,3,6,0
0,0,1,2,1,2,1
0,0,1,1,0,2,1
1,0,0,1,1,2,1
1,0,0,1,1,2,1
1,0,0,1,1,2,1
1,0,0,2,0,2,1
1,0,0,1,0,2,1
1,0,0,1,0,2,1
1,0,0,1,0,2,1
1,0,0,0,0,2,1
1,0,0,0,0,2,1
0,0,0,1,12,2,1
0,0,0,1,6,2,1
0,0,0,1,5,2,1
0,0,0,0,5,2,1
0,0,0,1,4,2,1
0,0,0,1,4,2,1
0,0,0,1,3,2,1
0,0,0,1,3,2,1
0,0,0,1,2,2,1
0,0,0,1,2,2,1
0,0,0,1,2,2,1
0,0,0,1,2,2,1
0,0,0,3,1,2,1
0,0,0,3,1,2,1
0,0,0,2,1,2,1
0,0,0,2,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,1,1,2,1
0,0,0,0,1,2,1
0,0,0,0,1,2,1
0,0,0,7,0,2,1
0,0,0,6,0,2,1
0,0,0,5,0,2,1
0,0,0,4,0,2,1
0,0,0,4,0,2,1
0,0,0,4,0,2,1
0,0,0,4,0,2,1
0,0,0,4,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,3,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,2,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,0,2,1
0,0,0,1,3,6,0
0,0,0,1,3,6,0
0,0,0,1,3,6,0
0,0,0,1,3,6,0
1,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
0,0,0,1,3,5,0
1,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,4,0
0,0,0,1,3,3,0
0,0,0,1,3,3,0
0,0,0,1,3,3,0
0,0,0,1,3,3,0
0,0,0,1,3,3,0
1,0,0,1,3,2,0
0,0,0,1,3,2,0
0,0,0,1,3,2,0
0,0,0,1,3,2,0
0,0,0,1,2,6,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
0,0,0,1,2,5,0
5,0,0,1,2,4,0
3,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,4,0
0,0,0,1,2,3,0
0,0,0,1,2,3,0
0,0,0,1,2,3,0
0,0,0,1,2,3,0
0,0,0,1,2,3,0
0,0,0,1,2,3,0
0,0,0,1,2,3,0
0,0,0,1,2,3,0
0,0,0,1,2,2,0
0,0,0,1,2,2,0
0,0,0,1,2,2,0
0,0,0,1,2,2,0
0,0,0,1,1,6,0
0,0,0,1,1,6,0
0,0,0,1,1,6,0
3,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
0,0,0,1,1,5,0
1,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
0,0,0,1,1,4,0
2,0,0,1,1,3,0
1,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,3,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
0,0,0,1,1,2,0
1,0,0,1,0,5,0
1,0,0,1,0,5,0
1,0,0,1,0,5,0
1,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
0,0,0,1,0,5,0
